nome_pc,cpu_modelo,cpu_temp,cpu_uso,cpu_energia,ram_uso,ram_utilizada,ram_livre,
GUSNAWEB,Intel Core i5-8350U,84.0,12.1,14.3,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,82.0,11.4,14.1,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,84.0,12.3,14.5,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,86.0,11.9,14.8,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,82.0,13.3,15.0,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,82.0,12.7,14.8,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,82.0,12.9,14.8,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,74.0,11.5,15.4,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,82.0,11.3,15.8,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,81.0,12.6,15.0,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,85.0,13.7,15.8,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,80.0,17.6,17.7,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,80.0,16.0,17.7,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,80.0,16.8,17.4,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,83.0,11.7,17.8,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,81.0,12.7,18.7,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,83.0,15.8,16.9,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,77.0,13.3,17.8,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,81.0,12.7,18.2,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,81.0,15.2,19.5,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,83.0,12.7,17.9,90.4,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,79.0,12.3,17.5,90.4,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,82.0,12.0,18.1,90.4,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,79.0,12.3,18.2,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,82.0,10.5,15.9,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,84.0,13.5,14.8,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,80.0,11.1,13.3,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,79.0,11.3,13.3,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,74.0,11.5,13.4,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,85.0,12.1,13.8,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,84.0,10.9,14.1,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,81.0,11.5,16.0,90.7,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,88.0,9.8,26.1,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,84.0,11.9,14.9,90.8,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,83.0,10.9,13.5,90.6,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,82.0,10.9,13.1,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,81.0,10.6,13.6,90.5,7.1,0.7,
GUSNAWEB,Intel Core i5-8350U,82.0,10.6,13.5,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,72.0,12.1,13.1,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,81.0,11.6,13.1,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,82.0,11.5,14.6,90.3,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,84.0,10.6,13.4,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,80.0,11.8,13.6,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,82.0,11.2,13.7,90.4,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,85.0,12.5,15.3,90.0,7.1,0.8,
GUSNAWEB,Intel Core i5-8350U,84.0,11.5,14.7,88.4,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,84.0,11.6,13.3,88.4,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,83.0,11.7,13.1,88.4,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,82.0,12.1,13.5,88.4,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,84.0,12.5,14.5,88.4,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,72.0,12.3,14.2,88.4,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,84.0,12.7,14.3,88.5,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,84.0,12.7,14.6,88.5,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,84.0,11.4,15.8,88.5,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,85.0,12.5,14.6,88.5,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,84.0,13.2,15.5,88.5,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,84.0,12.6,14.9,88.6,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,82.0,12.1,14.0,88.6,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,81.0,11.4,14.6,88.6,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,73.0,15.4,17.1,87.9,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,80.0,13.1,15.6,87.9,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,85.0,15.2,17.0,87.7,6.9,1.0,
GUSNAWEB,Intel Core i5-8350U,83.0,11.5,13.8,87.8,6.9,1.0,
GUSNAWEB,Intel Core i5-8350U,88.0,14.9,20.7,88.1,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,85.0,15.9,19.2,88.3,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,85.0,11.4,15.0,88.3,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,86.0,10.8,14.2,88.3,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,83.0,11.1,15.5,88.3,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,85.0,14.3,15.3,88.3,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,86.0,12.7,14.6,88.3,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,85.0,12.6,14.3,88.3,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,83.0,13.5,15.7,88.3,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,73.0,13.8,15.3,88.3,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,74.0,16.0,19.0,88.4,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,87.0,13.5,22.5,88.5,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,84.0,10.3,14.3,88.4,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,85.0,10.4,15.8,88.4,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,88.0,14.3,20.6,88.9,7.0,0.9,
GUSNAWEB,Intel Core i5-8350U,87.0,20.3,25.4,89.3,7.0,0.8,
GUSNAWEB,Intel Core i5-8350U,90.0,19.0,23.9,88.4,6.9,0.9,
GUSNAWEB,Intel Core i5-8350U,84.0,13.8,18.0,88.8,7.0,0.9,
GUSNAWEB,Intel Core i5-8350U,86.0,11.6,15.0,88.7,7.0,0.9,
GUSNAWEB,Intel Core i5-8350U,85.0,11.7,13.3,88.8,7.0,0.9,
